Network,Stability Domain $\phi = \frac{5}{4}$,Stability Domain $\phi = \frac{13}{10}$,Stability Domain $\phi = \frac{27}{20}$,Stability Domain $\phi = \frac{7}{5}$,Stability Domain $\phi = \frac{29}{20}$,Stability Domain $\phi = \frac{3}{2}$,Stability Domain $\phi = \frac{31}{20}$,Stability Domain $\phi = \frac{8}{5}$,Stability Domain $\phi = \frac{33}{20}$,Stability Domain $\phi = \frac{17}{10}$,Stability Domain $\phi = \frac{7}{4}$,Stability Domain $\phi = \frac{9}{5}$,Stability Domain $\phi = \frac{37}{20}$,Stability Domain $\phi = \frac{19}{10}$,Stability Domain $\phi = \frac{39}{20}$,Stability Domain $\phi = 2$,Stability Domain $\phi = \frac{41}{20}$,Stability Domain $\phi = \frac{21}{10}$,Stability Domain $\phi = \frac{43}{20}$,Stability Domain $\phi = \frac{11}{5}$,Stability Domain $\phi = \frac{9}{4}$,Stability Domain $\phi = \frac{23}{10}$,Stability Domain $\phi = \frac{47}{20}$,Stability Domain $\phi = \frac{12}{5}$,Stability Domain $\phi = \frac{49}{20}$,Stability Domain $\phi = \frac{5}{2}$,Stability Domain $\phi = \frac{51}{20}$,Stability Domain $\phi = \frac{13}{5}$,Stability Domain $\phi = \frac{53}{20}$,Stability Domain $\phi = \frac{27}{10}$,Stability Domain $\phi = \frac{11}{4}$,Stability Domain $\phi = \frac{14}{5}$,Stability Domain $\phi = \frac{57}{20}$,Stability Domain $\phi = \frac{29}{10}$,Stability Domain $\phi = \frac{59}{20}$,Stability Domain $\phi = 3$,Stability Domain $\phi = \frac{61}{20}$,Stability Domain $\phi = \frac{31}{10}$,Stability Domain $\phi = \frac{63}{20}$,Stability Domain $\phi = \frac{16}{5}$,Stability Domain $\phi = \frac{13}{4}$,Stability Domain $\phi = \frac{33}{10}$,Stability Domain $\phi = \frac{67}{20}$,Stability Domain $\phi = \frac{17}{5}$,Stability Domain $\phi = \frac{69}{20}$,Stability Domain $\phi = \frac{7}{2}$,Stability Domain $\phi = \frac{71}{20}$,Stability Domain $\phi = \frac{18}{5}$,Stability Domain $\phi = \frac{73}{20}$,Stability Domain $\phi = \frac{37}{10}$,Stability Domain $\phi = \frac{15}{4}$,Stability Domain $\phi = \frac{19}{5}$,Stability Domain $\phi = \frac{77}{20}$,Stability Domain $\phi = \frac{39}{10}$,Stability Domain $\phi = \frac{79}{20}$,Stability Domain $\phi = 4$,Stability Domain $\phi = \frac{81}{20}$,Stability Domain $\phi = \frac{41}{10}$,Stability Domain $\phi = \frac{83}{20}$,Stability Domain $\phi = \frac{21}{5}$,Stability Domain $\phi = \frac{17}{4}$,Stability Domain $\phi = \frac{43}{10}$,Stability Domain $\phi = \frac{87}{20}$,Stability Domain $\phi = \frac{22}{5}$,Stability Domain $\phi = \frac{89}{20}$,Stability Domain $\phi = \frac{9}{2}$,Stability Domain $\phi = \frac{91}{20}$,Stability Domain $\phi = \frac{23}{5}$,Stability Domain $\phi = \frac{93}{20}$,Stability Domain $\phi = \frac{47}{10}$,Stability Domain $\phi = \frac{19}{4}$,Stability Domain $\phi = \frac{24}{5}$,Stability Domain $\phi = \frac{97}{20}$,Stability Domain $\phi = \frac{49}{10}$,Stability Domain $\phi = \frac{99}{20}$,Stability Domain $\phi = 5$
E0A [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E1A [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E1B [1H3L],\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset
E2A [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E2B [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E2C [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E2D [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\},\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\left\{0.0\right\}
E3A [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E3B [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
E3C [1H3L],\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset,\emptyset
